RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
38,87182931,Brown,593,Spain,Male,21,1,14715.91,3,0,0,102973.97,1
39,45526829,Miller,765,Germany,Female,26,0,31935.1,1,1,0,91423.74,0
40,70568816,Brown,847,France,Female,34,3,12307.01,2,0,1,85915.46,1
41,38815560,Davis,820,Spain,Male,33,10,8488.77,3,1,1,22432.77,1
42,86185649,Williams,376,Germany,Female,66,9,236562.1,2,0,1,33964.76,0
43,51285922,Miller,821,Spain,Male,62,7,194776.47,4,0,0,56223.55,1
44,95084833,Davis,780,France,Male,69,4,86634.98,1,0,1,20502.36,1
45,22652859,Davis,500,Spain,Male,42,6,170053.8,1,1,1,146265.9,1
46,17012437,Davis,533,France,Female,22,8,242802.54,1,1,0,92993.53,0
47,57484467,Williams,815,Spain,Female,60,10,155167.93,4,1,1,59647.82,1
48,31145893,Jones,826,France,Female,45,9,205648.22,3,0,0,33715.65,1
49,52258478,Brown,699,Spain,Male,66,8,173187.36,1,0,0,148659.3,1
50,14516421,Jones,384,France,Female,34,2,-680.8,3,0,1,120925.9,1
51,14261872,Brown,401,France,Male,21,7,121941.69,4,0,0,112349.87,1
52,82655001,Jones,674,Spain,Female,37,4,174707.89,2,1,1,50965.64,1
53,42276934,Brown,734,Germany,Female,22,6,239797.89,4,0,1,84787.85,0
54,80398406,Smith,736,Germany,Female,24,10,170824.71,1,0,1,62928.28,1
55,53336939,Brown,552,Spain,Male,47,9,79452.26,3,0,0,126898.35,0
56,70879359,Jones,590,France,Male,45,10,63824.01,4,1,1,134011.91,0
57,52796609,Brown,803,France,Female,53,8,3886.06,1,1,1,99684.5,1
58,16330236,Williams,639,Germany,Female,66,1,221865.11,4,1,1,121529.32,0
59,64529513,Williams,816,Spain,Female,46,10,225592.52,3,1,0,60558.27,1
60,30537742,Williams,454,France,Male,69,7,15985.08,4,1,1,89964.28,0
61,88989952,Miller,750,Germany,Male,69,9,91104.98,1,1,0,148693.4,1
62,53429370,Smith,834,France,Male,41,2,93579.77,2,0,0,101298.9,1
63,95384775,Jones,704,Spain,Male,50,8,191579.13,3,0,0,118272.3,1
64,24934668,Johnson,518,France,Male,50,9,96044.5,2,1,1,127886.82,0
65,82817031,Brown,803,Germany,Male,17,1,130599.52,1,1,1,90170.96,1
66,54277328,Miller,829,Germany,Male,43,10,82163.89,2,1,0,112047.55,1
67,10701513,Jones,595,Spain,Male,25,5,222144.4,4,1,0,59012.32,0
68,25500396,Williams,687,Germany,Male,65,3,104315.82,3,0,1,57849.84,1
69,54843210,Williams,531,France,Male,29,5,242068.34,1,0,1,96945.44,0
70,56596832,Williams,560,France,Male,38,7,55916.61,1,0,1,110245.31,0
71,39616740,Jones,659,France,Female,25,6,92989.59,1,0,1,102586.08,1
72,30953990,Jones,419,Spain,Female,53,5,181514.39,3,1,0,47920.18,1
73,39967209,Miller,747,France,Male,20,10,74304.74,1,1,0,132517.6,1
74,10652065,Jones,661,Germany,Female,33,6,159147.86,2,1,1,51914.73,0
75,97897562,Jones,604,Germany,Male,50,7,64521.32,1,0,0,57780.63,1
76,66188831,Brown,514,Spain,Male,24,0,210488.78,4,0,1,149636.49,1
77,70613939,Johnson,841,Spain,Female,65,2,90793.19,1,0,0,17499.83,0
78,23899366,Smith,585,Spain,Female,35,4,190308.22,4,1,1,7037.04,0
79,85626372,Jones,702,Spain,Female,60,10,106650.55,4,0,1,100102.85,0
80,37487087,Johnson,366,Spain,Male,59,8,36.54,2,0,0,138810.04,1
81,91947847,Smith,834,France,Male,52,0,176368.76,1,0,0,18952.02,1
82,33842884,Miller,420,Spain,Female,36,6,227626.84,4,1,0,47447.26,0
83,65697333,Williams,477,Spain,Female,28,0,25827.73,4,0,0,133333.22,0
84,29354120,Davis,777,France,Male,39,3,189851.48,3,1,1,72358.59,0
85,74282997,Johnson,729,France,Female,39,8,249454.34,4,0,0,26967.88,1
86,19463072,Johnson,610,Germany,Female,40,2,233369.56,2,1,0,119662.14,1
87,91490543,Williams,812,Spain,Male,37,9,180743.31,3,0,1,128131.91,0
88,44265881,Johnson,609,Germany,Female,70,10,11678.74,4,0,1,48377.64,0
89,29570721,Johnson,781,Germany,Male,42,10,96478.93,3,0,0,126268.17,1
90,85431944,Smith,696,Germany,Female,44,7,71335.55,4,0,0,33314.39,1
91,88500673,Davis,420,Germany,Female,20,6,191538.43,4,1,1,99587.73,1
92,49016010,Davis,771,Germany,Female,58,4,205116.73,2,0,1,129343.47,0
93,52677472,Davis,664,Spain,Female,68,2,94693.52,3,0,1,147436.4,1
94,49011833,Miller,831,Spain,Female,30,9,102604.27,3,1,0,53899.18,0
95,87038454,Jones,543,Germany,Female,23,10,177662.88,3,0,0,66075.57,1
96,28934569,Davis,570,Spain,Male,24,1,18960.75,3,1,1,10146.68,0
97,24105945,Miller,623,Germany,Female,20,1,180424.12,1,1,1,85906.42,1
98,65809863,Williams,768,France,Female,21,0,196622.17,1,1,1,97857.53,1
99,27823733,Miller,466,France,Female,22,6,90805.82,1,0,1,19878.34,1
100,31656785,Brown,823,Spain,Male,45,7,94583.92,3,0,1,132427.13,1
101,65341650,Brown,648,France,Female,69,1,62994.02,3,1,1,82038.44,0
102,50277785,Williams,730,Spain,Female,45,9,204816.47,4,1,0,107062.93,1
103,45718591,Davis,781,France,Female,41,10,182643.88,3,0,0,100961.26,1
104,59272316,Jones,572,Germany,Female,67,3,2269.58,2,0,1,111455.87,1
105,83551729,Jones,819,France,Female,52,9,182970.54,2,1,0,78395.28,1
106,80381629,Miller,415,France,Male,40,3,186913.87,2,1,0,92938.88,1
107,80759026,Smith,472,France,Male,40,4,240395.45,3,0,1,52598.93,1
108,68383214,Jones,627,Spain,Male,64,3,234140.54,1,1,1,119430.7,0
109,66911390,Miller,773,Germany,Female,19,10,232987.31,4,1,0,56184.56,0
110,28343282,Miller,781,Germany,Female,23,7,191467.25,1,0,0,136419.7,1
111,13187241,Miller,763,Spain,Male,67,1,31318.06,2,1,0,130852.11,0
112,80736013,Smith,779,France,Female,68,10,56092.91,4,0,1,126199.0,1
113,84048265,Johnson,431,Germany,Female,41,10,247398.83,3,1,0,30901.16,1
114,59609751,Smith,574,Germany,Male,32,7,97028.51,2,0,1,132205.2,0
115,68515606,Williams,748,Germany,Female,23,10,89544.89,3,0,1,69337.06,1
116,43306824,Miller,829,Spain,Female,42,10,27314.36,2,0,0,94858.49,1
117,47345084,Smith,661,Spain,Female,37,0,192940.63,2,1,0,57581.62,1
118,37929743,Johnson,557,Spain,Female,36,6,46867.42,4,1,1,12286.67,1
119,80494395,Johnson,765,France,Male,43,7,142591.84,3,1,0,68070.35,1
120,24456725,Miller,576,Spain,Male,42,2,105382.99,3,1,0,97499.4,0
121,74927861,Davis,738,Germany,Female,36,4,36140.61,4,1,1,137404.66,1
122,57750845,Brown,595,Spain,Female,38,9,100015.93,3,0,0,146602.21,1
123,98509274,Johnson,492,Spain,Male,56,3,187608.54,2,1,1,53180.41,1
124,28610575,Brown,365,France,Female,42,9,86332.84,2,1,0,99282.03,1
125,86790148,Williams,550,France,Male,51,6,233613.82,3,1,0,99194.57,1
126,98652624,Williams,757,Spain,Male,47,3,35693.4,2,0,0,33169.29,1
127,15567546,Johnson,657,France,Female,45,6,140095.14,4,1,0,140573.05,0
128,56164940,Miller,392,France,Female,31,10,57863.13,3,1,0,37797.82,0
129,48901274,Johnson,615,France,Male,52,5,68176.36,1,1,1,90661.19,0
130,88276945,Jones,695,France,Female,42,6,176229.24,4,0,0,99203.02,1
131,50631650,Jones,435,France,Male,23,1,174270.83,2,0,1,80799.71,1
132,55512959,Williams,584,France,Female,27,10,172867.67,4,0,1,147198.62,1
133,53816359,Jones,430,France,Female,49,3,169196.16,3,0,0,122084.29,1
134,50830584,Smith,838,Germany,Male,67,4,109658.58,3,0,1,125385.02,1
135,42944386,Johnson,836,Germany,Female,68,10,76326.2,3,0,0,74634.86,1
136,37319588,Smith,527,Spain,Female,31,9,137117.35,3,0,1,70448.97,1
137,37460560,Smith,809,France,Female,23,8,165496.9,1,1,0,92152.79,0
138,29915480,Johnson,783,Germany,Male,61,6,240668.17,2,1,0,55312.72,0
139,86252848,Davis,729,Spain,Male,63,4,162837.36,3,0,0,47041.54,1
140,53316986,Davis,679,Germany,Female,67,7,181458.06,2,0,0,32077.92,1
141,37643658,Smith,769,France,Female,41,0,56264.29,4,0,1,128953.65,1
142,73928061,Miller,460,France,Female,34,2,238734.2,3,0,1,70095.27,1
143,71766820,Brown,523,Spain,Female,21,10,239315.52,3,0,0,95014.63,1
144,58570024,Williams,775,Spain,Female,39,0,48049.2,2,1,0,73427.51,1
145,47977453,Miller,523,Spain,Female,37,6,36349.27,2,1,0,123145.42,1
146,61295214,Brown,457,France,Female,26,7,140014.55,4,0,1,114346.05,1
147,37163508,Miller,769,Spain,Female,28,10,175930.88,4,0,1,34777.87,1
148,80960675,Williams,754,France,Female,47,6,187789.5,2,0,1,112507.3,1
149,47286686,Davis,775,Spain,Female,35,1,6972.63,3,0,1,45843.92,1
150,19618131,Williams,543,France,Female,33,6,200383.28,4,0,1,62449.38,0
151,10403890,Miller,521,France,Female,51,1,196620.26,4,1,0,56108.93,1
152,88202774,Miller,418,Spain,Male,46,10,29853.35,3,1,1,146347.72,0
153,99199641,Jones,574,Germany,Male,50,6,1086.71,1,0,1,14503.52,0
154,45712201,Williams,388,France,Male,45,9,76588.7,3,0,0,143029.71,0
155,25476653,Jones,706,Germany,Male,30,1,189196.63,4,0,1,8559.69,1
156,64524214,Miller,376,Germany,Female,34,10,235741.4,3,1,1,82857.81,1
157,33727224,Johnson,789,Spain,Male,20,7,65489.89,4,0,0,152075.49,1
158,73135122,Miller,577,Spain,Female,67,9,73645.19,2,0,0,110352.45,1
159,62629024,Davis,737,Germany,Male,43,1,181716.92,4,1,0,119797.68,1
160,12680662,Miller,833,France,Male,41,2,7049.3,4,1,0,99679.35,1
161,97535304,Jones,834,France,Male,36,7,188764.74,3,1,0,55482.29,0
162,27311908,Williams,445,France,Male,22,7,86335.54,1,0,1,30505.91,1
163,70567841,Jones,787,Spain,Male,39,0,222950.54,3,0,0,59669.2,0
164,60840161,Williams,377,Spain,Female,21,4,45025.21,4,1,0,46301.56,1
165,99092669,Davis,829,France,Female,70,9,198428.75,2,0,1,140777.42,0
166,37418538,Johnson,383,Germany,Male,68,8,46985.82,3,1,0,121110.4,1
167,79786293,Smith,779,Germany,Male,48,7,-2068.76,4,0,1,98705.44,1
168,73181844,Miller,458,Spain,Male,37,7,62804.32,4,0,0,113753.13,1
169,94644770,Davis,389,Germany,Female,26,0,30400.29,3,0,1,41982.9,1
170,68884073,Jones,394,Spain,Female,65,3,186141.04,1,1,1,54907.21,1
171,39260243,Brown,724,France,Female,36,1,58010.32,1,0,1,72075.64,1
172,41196302,Davis,378,France,Female,29,4,169045.31,3,0,1,147862.44,1
173,42502663,Smith,770,France,Male,21,10,150002.67,3,0,0,147987.85,0
174,53484694,Miller,710,Spain,Female,28,9,209881.35,4,1,0,69178.94,1
175,73202630,Williams,700,Spain,Female,48,8,242363.21,1,1,1,144888.93,1
176,33102162,Williams,710,Spain,Male,43,8,1228.71,4,1,1,148956.82,1
177,83822244,Williams,475,Spain,Male,65,8,240617.21,3,0,0,56139.24,0
178,78546876,Brown,839,France,Male,23,6,245040.88,1,1,0,100735.04,1
179,42998875,Smith,544,Spain,Male,46,7,206318.66,2,0,1,97336.88,1
180,61228296,Smith,416,Spain,Female,29,2,174009.43,3,0,1,58462.42,0
181,81741565,Johnson,626,Spain,Male,47,6,53042.13,3,0,0,65683.96,0
182,55753643,Brown,835,France,Female,17,6,28573.56,4,0,1,65015.62,1
183,74348288,Miller,765,France,Male,35,5,226922.8,2,1,0,38056.35,0
184,86198623,Williams,757,France,Male,47,8,17340.2,3,1,0,41011.54,1
185,38126075,Johnson,696,France,Male,35,6,29971.84,3,0,1,97646.17,1
186,43017848,Jones,567,Spain,Female,51,1,87646.39,1,0,1,26986.39,0
187,43983222,Johnson,389,France,Female,67,8,111242.74,2,1,0,131275.35,1
188,45120070,Jones,442,Spain,Male,60,8,152873.81,1,0,1,53454.79,1
189,91227309,Jones,819,Germany,Female,58,8,190959.85,3,1,1,12064.4,0
190,64846059,Johnson,647,Germany,Female,45,8,235789.63,4,1,0,69825.76,0
191,49250324,Johnson,791,Germany,Male,60,9,34688.98,1,1,0,146392.55,0
192,83852603,Miller,429,Germany,Male,26,10,21865.22,4,0,1,97237.09,0
193,67531792,Davis,587,Spain,Female,28,7,247392.08,2,0,0,123943.67,0
194,30081266,Brown,766,Germany,Female,41,10,46581.04,3,1,1,96109.84,1
195,71114722,Davis,803,France,Female,52,7,199702.45,2,1,0,147123.25,0
196,82992443,Williams,372,Spain,Male,43,6,136959.03,4,1,1,99118.95,1
197,87488522,Williams,547,Spain,Female,32,1,129.81,2,0,0,116395.1,0
198,46570945,Williams,408,France,Male,48,7,34320.03,3,0,1,121087.72,1
199,85233593,Brown,576,Spain,Male,23,3,240623.5,4,0,0,114747.95,1
200,51490778,Jones,510,Germany,Female,24,10,39213.0,2,1,1,113490.89,1
201,61238450,Jones,389,Spain,Male,62,7,235915.41,3,0,0,90025.63,1
202,14898924,Davis,781,France,Female,27,0,108156.43,3,0,0,17234.72,1
203,10372887,Jones,724,Spain,Female,46,9,66333.91,1,0,1,58948.95,1
204,93072423,Brown,709,France,Female,60,7,235191.5,4,0,1,51469.83,1
205,58519718,Miller,403,Spain,Female,67,7,242971.93,4,1,1,100269.0,0
206,99268311,Williams,534,France,Male,22,10,78206.64,2,0,1,25029.76,0
207,23330878,Miller,782,Spain,Female,43,9,237648.98,4,0,0,57869.53,1
208,97469396,Davis,497,Germany,Male,19,0,143903.21,2,0,0,29205.36,1
209,91316152,Smith,779,Germany,Male,54,5,239123.69,3,1,0,96736.47,1
210,47536045,Miller,464,Spain,Female,41,8,20436.97,1,1,1,51956.42,1
211,22880004,Brown,495,France,Female,44,10,176686.39,3,0,0,112913.78,1
212,64796800,Brown,446,Spain,Male,44,6,218502.55,4,1,0,41342.98,1
213,41278093,Jones,463,Germany,Male,63,10,11296.28,1,1,0,33087.79,1
214,67753759,Smith,807,Germany,Male,19,10,146998.8,4,1,1,87918.71,0
215,48269735,Brown,712,Spain,Male,45,9,16624.05,3,0,0,88300.04,1
216,51299665,Davis,661,Spain,Female,25,7,24205.38,1,0,0,130007.39,1
217,50762087,Brown,833,Germany,Female,56,2,96641.94,3,1,1,121065.09,1
218,78958886,Jones,582,Spain,Female,69,8,96466.73,4,1,0,71910.57,1
219,71520489,Davis,678,Spain,Female,22,10,240980.82,1,0,0,14392.98,1
220,47231028,Jones,618,France,Male,49,4,190519.01,4,1,0,135009.07,1
221,81359093,Miller,602,Germany,Male,41,2,234479.24,1,1,1,63101.03,1
222,17393209,Miller,536,Spain,Male,52,0,171052.85,4,0,1,19587.21,1
223,49274783,Jones,589,Germany,Female,33,9,42323.43,3,0,0,35384.03,0
224,91982716,Davis,572,France,Female,18,6,125548.5,2,1,0,143166.87,1
225,18341086,Smith,457,Germany,Female,37,7,238346.24,2,0,0,79408.04,1
226,20480466,Brown,774,Germany,Female,17,8,44002.68,2,0,0,92465.48,1
227,33897667,Jones,757,France,Male,42,7,135671.61,1,0,0,72087.85,0
228,12396007,Johnson,663,Spain,Female,31,1,129942.41,1,0,0,48619.43,1
229,70672654,Miller,646,France,Male,23,4,202251.6,3,1,0,142672.14,1
230,61038229,Johnson,595,France,Male,63,10,162871.34,4,1,0,113196.14,0
231,59262382,Smith,484,France,Male,66,0,211320.91,1,1,0,148410.01,0
232,41010272,Williams,814,Spain,Female,39,1,29324.09,3,0,1,44930.26,1
233,11307976,Brown,793,France,Female,47,9,234696.66,3,1,0,89355.76,0
234,59870363,Jones,520,Germany,Male,41,7,212249.58,3,1,1,35348.11,1
235,94564992,Smith,559,Germany,Female,49,6,178151.72,3,0,0,56950.91,1
236,18460079,Brown,454,Germany,Female,22,1,219243.83,2,0,1,128317.89,1
237,95723883,Davis,511,Spain,Female,36,2,7886.78,1,1,0,29793.33,1
238,16113197,Brown,456,France,Male,30,6,144967.31,3,0,1,36896.59,1
239,94246671,Miller,760,Germany,Male,42,7,18236.45,4,0,1,129950.34,0
240,34349190,Johnson,728,Spain,Male,36,0,210617.27,3,0,0,97282.16,0
241,77551205,Brown,720,Germany,Female,40,3,11936.07,1,1,1,100828.16,1
242,52901642,Smith,794,Germany,Male,50,0,172273.22,2,0,1,30357.48,1
243,53933299,Davis,699,Germany,Male,40,6,168424.91,1,1,0,49117.63,1
244,39178537,Davis,630,Spain,Male,66,1,118184.17,3,0,1,148860.41,1
245,18428394,Williams,469,France,Female,61,3,250199.18,1,0,0,131951.34,0
246,33054904,Smith,466,Spain,Male,22,6,164964.1,2,0,1,146548.22,0
247,91644443,Davis,804,Spain,Female,62,9,218663.26,4,0,1,9719.33,1
248,42555715,Brown,530,Germany,Female,39,1,19160.21,2,0,1,138614.15,0
249,35844115,Miller,648,France,Female,22,10,138839.91,4,1,0,92844.15,0
250,41759114,Smith,784,France,Male,68,5,92958.98,1,0,0,13021.28,1
251,29025636,Smith,528,Spain,Male,61,4,33577.93,4,0,0,91090.99,0
252,78983121,Smith,807,Germany,Male,44,10,233251.83,1,1,0,137428.57,1
253,10151012,Davis,574,Spain,Female,22,1,183279.16,3,1,0,89600.36,0
254,89729281,Smith,464,Germany,Female,43,10,145368.34,4,1,0,97833.93,1
255,24437140,Williams,575,France,Female,32,0,29382.74,3,0,1,132486.79,1
256,39184172,Brown,581,France,Male,41,10,47687.86,4,0,1,97200.27,0
257,96392325,Williams,434,Germany,Male,69,7,24704.32,2,0,0,58470.45,1
258,93840534,Davis,839,France,Female,34,7,158798.54,2,0,1,56557.41,0
259,89806185,Johnson,784,Germany,Male,22,8,113056.7,3,1,1,22793.72,0
260,20091519,Jones,722,Spain,Male,66,3,29296.67,1,0,0,99159.04,0
261,22956286,Smith,456,France,Female,59,2,32054.53,4,0,1,62522.58,1
262,51517230,Davis,613,Germany,Male,62,5,237515.64,4,0,0,16415.93,1
263,85704763,Miller,616,France,Female,38,9,108431.71,1,1,0,47931.44,1
264,79590478,Williams,622,Germany,Female,64,9,187315.02,2,0,1,128061.28,1
265,76043145,Jones,744,France,Male,60,0,238641.12,1,0,0,93743.78,1
266,11395633,Jones,400,France,Male,66,2,106911.36,1,1,1,124561.3,0
267,51321316,Jones,823,Germany,Female,68,7,89231.26,3,0,1,146215.23,1
268,31543664,Jones,623,Spain,Male,31,5,79996.49,2,0,1,43085.19,1
269,68421828,Williams,685,Spain,Male,66,2,196244.23,1,0,0,124362.67,1
270,10916222,Smith,769,Germany,Male,42,10,209688.36,2,1,1,104042.34,1
271,55173848,Brown,425,Spain,Female,27,6,84303.97,2,1,1,105519.66,1
272,20244980,Smith,425,Germany,Male,41,0,198185.26,3,1,1,81181.34,1
273,15145771,Jones,802,France,Female,28,5,63330.97,3,0,1,88731.95,1
274,12464683,Davis,546,Germany,Female,60,0,77093.53,4,1,0,74041.76,0
275,13747142,Williams,533,Germany,Male,56,10,76527.46,4,1,1,128725.75,0
276,16014893,Miller,593,Germany,Male,68,4,121323.62,2,1,1,47087.23,0
277,68939499,Brown,490,France,Female,27,0,153073.61,2,1,0,59283.08,1
278,61987537,Jones,435,France,Male,23,10,240226.9,1,1,1,32109.97,0
279,62482422,Jones,825,France,Male,62,7,204553.5,2,1,1,53095.86,0
280,96983625,Miller,595,Spain,Male,44,3,46334.57,2,0,0,48334.02,0
281,44857237,Brown,698,Spain,Female,21,2,239606.08,4,1,1,96776.51,1
282,55838767,Jones,538,France,Male,42,2,177964.02,1,0,1,102023.53,1
283,30362117,Davis,845,France,Female,60,2,35185.38,3,1,0,107643.76,0
284,94821112,Jones,583,Spain,Male,49,0,193019.15,2,0,1,122361.71,1
285,98040158,Davis,832,Spain,Male,25,9,187687.87,2,1,1,56750.94,1
286,58099531,Miller,722,Germany,Female,32,8,10434.28,4,0,0,109662.77,1
287,71786896,Williams,529,France,Female,43,6,202344.6,3,1,0,20918.78,0
288,34648537,Davis,620,Spain,Male,60,5,184735.0,3,1,0,117768.94,0
289,84063349,Jones,504,France,Female,47,8,79808.45,3,0,1,30766.13,1
290,68849271,Smith,842,Spain,Male,63,0,15111.13,3,1,0,143308.86,0
291,30788393,Jones,721,France,Female,69,0,202784.96,4,0,1,142728.83,1
292,30203686,Smith,711,Germany,Female,28,6,212349.72,2,0,1,119420.13,1
293,70561452,Williams,544,France,Male,58,10,241857.27,3,0,0,96084.7,1
294,98131415,Miller,358,Spain,Male,47,6,232222.51,4,0,0,122779.55,1
295,90138541,Smith,760,France,Female,41,1,25581.75,1,0,1,98002.23,1
296,77470584,Brown,368,Germany,Female,22,7,242614.87,1,1,0,125306.1,0
297,52925811,Brown,616,Spain,Female,53,9,215032.74,2,1,0,51324.36,0
298,96123292,Miller,566,Germany,Female,24,3,137113.39,4,0,0,102382.51,1
299,13991856,Miller,715,Spain,Male,63,4,239260.1,2,0,1,41856.05,1
300,39458893,Miller,786,Germany,Female,40,7,63319.55,4,1,1,135532.78,0
301,89541086,Smith,490,France,Male,43,9,49974.59,1,1,1,26900.31,1
302,56876698,Miller,723,France,Male,69,7,34464.79,1,1,0,54312.05,1
303,39114391,Davis,580,Germany,Male,61,6,35106.95,1,1,1,99737.25,0
304,79436279,Smith,734,France,Male,20,4,172927.4,1,1,1,131527.57,1
305,92409991,Miller,415,Spain,Male,62,10,7980.19,3,1,0,135920.62,1
306,39770747,Davis,405,Germany,Male,22,9,103030.32,3,0,1,89971.18,1
307,51276757,Smith,725,Germany,Female,22,9,13029.03,3,0,1,128449.52,1
308,85748890,Davis,611,Germany,Male,70,8,204940.76,4,0,1,52777.8,1
309,38084796,Smith,690,France,Male,44,4,238037.0,3,0,0,36461.55,0
310,44065460,Brown,800,Spain,Male,69,10,24534.78,1,0,1,113525.26,1
311,15418782,Jones,597,France,Male,20,6,207583.3,2,0,0,126068.41,0
312,68618701,Johnson,780,France,Female,39,8,168712.82,2,1,1,53079.85,1
313,16744673,Johnson,412,France,Male,66,4,215499.48,3,1,0,129418.56,0
314,96362071,Brown,629,Spain,Male,22,10,90062.81,3,1,1,58609.33,1
315,98881986,Brown,653,France,Male,23,5,243956.06,4,1,0,12059.53,0
316,15469457,Brown,820,Spain,Male,37,10,101954.06,1,1,0,94069.66,0
317,56405902,Williams,819,Germany,Female,62,4,202281.61,2,0,1,10115.89,1
318,38281644,Williams,713,Spain,Female,21,9,190986.23,1,1,1,121968.38,1
319,86144305,Smith,849,France,Female,23,3,189304.01,4,0,1,121209.77,1
320,90596901,Davis,408,France,Male,59,4,3881.14,2,0,0,9633.05,1
321,56889361,Johnson,519,France,Female,59,2,132350.43,1,1,1,97073.19,1
322,95216381,Jones,720,France,Female,21,10,30730.28,4,0,1,123078.69,0
323,90815086,Smith,762,Germany,Female,43,8,175106.8,2,0,1,98900.1,0
324,84226565,Williams,811,France,Female,23,7,236476.38,3,1,0,111411.79,1
325,18257322,Williams,413,France,Female,44,7,148560.52,4,0,1,62313.84,0
326,39177015,Williams,563,Spain,Female,40,6,149187.42,3,0,1,50787.31,0
327,59466121,Johnson,500,Germany,Male,26,4,232859.05,2,0,1,109631.98,1
328,32572791,Jones,433,Germany,Male,29,1,174904.23,1,1,1,89011.24,1
329,75013170,Miller,661,France,Male,48,4,227404.16,2,0,1,60175.23,0
330,82848410,Jones,570,Germany,Male,36,10,8950.48,2,1,0,123019.94,0
331,92455259,Jones,424,Spain,Male,65,2,149476.34,2,1,1,60481.52,1
332,28599971,Davis,443,France,Male,20,8,59459.38,2,0,1,118124.54,1
333,34592794,Johnson,534,Spain,Female,41,3,225412.3,3,0,0,60952.64,0
334,84643528,Smith,638,France,Male,66,7,235277.99,1,1,1,52116.08,1
335,81659870,Smith,838,Spain,Male,21,2,23636.05,4,0,1,133495.66,1
336,34968536,Miller,527,France,Male,28,7,178855.38,1,1,0,129597.97,1
337,88565486,Miller,625,Germany,Female,61,7,167799.01,4,1,1,107574.2,1
338,58399614,Williams,548,Germany,Male,42,8,104599.37,1,1,1,59736.32,0
339,77268853,Smith,633,Germany,Male,20,10,220297.74,4,0,0,96665.29,1
340,11823968,Miller,404,Germany,Female,65,6,121761.77,2,1,0,45858.03,1
341,43012425,Williams,764,Spain,Female,44,1,244773.56,2,0,0,102600.67,1
342,98410068,Johnson,792,France,Male,22,2,28910.83,4,1,0,144337.4,1
